name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
adamite,arsenate mineral,zn2aso4oh,orthorhombic,"pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned",wedge-like prisms typically in druses and radiating clusters; also smooth botryoidal masses,uneven to subconchoidal,3.5,vitreous,4.32–4.48 measured,,biaxial (+/−),"nα=1.708 – 1.722, nβ=1.742 – 1.744, nγ=1.763 – 1.773",δ = 0.055,,,,ad[1],dipyramidal (mmm) h–m symbol: (2/m 2/m 2/m),pnnm,,,"{101}, good; {010}, poor",brittle,white to pale green,,,,8.bb.30,,41.06.06.03 olivenite group,,,,,,,may fluoresce and phosphoresce lemon-yellow under sw and lw uv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyrolite,phyllosilicate,naca16(si23al)o60(oh)8·14h2o,triclinic,"white, colorless, green, yellow or brown","compact, lamellar, platy",,2+1⁄2,"vitreous, pearly",,,biaxial (-),nα = 1.535 nβ = 1.548 nγ = 1.549,δ = 0.0140,,,,gyr[1],pinacoidal (1) (same h-m symbol),p1,"a = 9.74, b = 9.74 c = 22.4[å]; α = 95.71° β = 91.51°, γ = 120.01°; z=4",,perfect on {001},brittle,,"transparent, translucent, opaque",,,9.ee.30,lamellar,73.2.2c.1,2.45 - 2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baltic amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hessonite,nesosilicate,ca3al2(sio4)3,cubic[2],"light to dark green, light to dark yellow to reddish brown, brown, orange, red, yellow, green, white, occasionally translucent to opaque pink. it is also but rarely
found in colorless form[2]",,conchoidal to uneven[2],6.5 to 7[2],greasy to vitreous[2],3.61 (+.15 -.04),vitreous[2],"single refractive, often anomalous double refractive[2]",1.740 (+.12 -.04)[2],none,none,near colorless to light green – inert to weak orange in longwave and weak yellow-orange in shortwave; yellow – inert to weak orange in longwave and shortwave[2],hessonite sometimes shows bands at 407 and 430nm,grs[1],hexoctahedral (m3m) h-m symbol: (4/m 3 2/m),ia3d,,,none,,brown,,,,9.ad.25,,,,.028,,,,,,,,,yellow-red to reddish-orange,intense green to yellowish green,transparent and colorless[3],translucent to opaque pink grossularite crystals in marble from mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazonite,tectosilicate,kalsi3o8,triclinic,"green, blue-green",prismatic,"uneven, splintery",6.0–6.5,vitreous,2.56–2.58,,,1.522–1.530,−0.008,absent,weak; olive-green,,,,,,,perfect,brittle,white,"translucent, opaque",,,,,,,none,,,,, radioactive 14.05% (k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prasiolite,oxide mineral,,trigonal,shades of green,hexagonal prisms,conchoidal[1],7 – lower in impure varieties[1],,2.65,,,1.544 to 1.553[2],0.009[3],,none,,,,,,,none,brittle[1],,transparent to nearly opaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quartz,silicate mineral[1],sio2,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",conchoidal,7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,2.65; variable 2.59–2.63 in impure varieties,,uniaxial (+),nω = 1.543–1.545 nε = 1.552–1.554,+0.009 (b-g interval),none,,,qz[2],α-quartz: trapezohedral (class 3 2) β-quartz: trapezohedral (class 6 2 2)[3],α-quartz: p3221 (no. 154)[4]β-quartz: p6222 (no. 180) or p6422 (no. 181)[5],"a = 4.9133 å, c = 5.4053 å; z=3",60.083g·mol−1,{0110} indistinct,brittle,white,transparent to nearly opaque,,,4.da.05 (oxides),"common dauphine law, brazil law and japan law",75.01.03.01 (tectosilicates),,,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3],,,,"lattice: hexagonal, piezoelectric, may be triboluminescent, chiral (hence optically active if not racemic)",,1670 °c (β tridymite) 1713 °c (β cristobalite)[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euclase,nesosilicate,bealsio4(oh),monoclinic,"colorless, white, pale green to deep yellowish green, greenish blue, pale blue to deep blue, and light red",prismatic crystals,conchoidal,7.5,vitreous,2.99 - 3.1,,biaxial (+),nα = 1.652 nβ = 1.655 nγ = 1.671,δ = 0.019,may be marked in shades of deep blue,,,ecs[1],prismatic (2/m) (same h-m symbol),p21/a,"a = 4.763, b = 14.29 c = 4.618[å]; β = 100.25°; z=4",,"perfect, perfect on {010}, imperfect on {110} {001}",brittle,white,"transparent, translucent",50°,,9.ae.10,,,,r > v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremejevite,borate mineral,"al6b5o15(f,oh)3",hexagonal,"colorless, white, yellowish, blue, light yellow brown, aquamarine blue, rarely violet; colourless in transmitted light",prismatic,conchoidal,6.5 - 7.5,vitreous,3.28 - 3.31,,uniaxial (-),nω = 1.653 nε = 1.640,0.0130,colorless - light blue-violet,,,jer[1],dipyramidal class (6/m)h-m symbol: (6/m),p63/m,,,none observed,,white,transparent,,,6.ab.15,,,,,,,,,piezoelectric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pectolite,inosilicate mineral,naca2si3o8(oh),triclinic,"colorless, whitish, grayish, yellowish","tabular to acicular, radiating fibrous, spheroidal, or columnar; massive",uneven,4.5 - 5,"silky, subvitreous",2.84 - 2.90,,biaxial (+),nα = 1.594 - 1.610 nβ = 1.603 - 1.614 nγ = 1.631 - 1.642,δ = 0.037,,,,pct[1],pinacoidal (1) (same h-m symbol),p1,"a = 7.99å, b = 7.03å, c = 7.03å; α = 90.51°, β = 95.21°, γ = 102.53°; z=2",,perfect on {100} and {001},brittle; tough when compact,white,translucent to opaque,"measured: 50° to 63°, calculated: 42° to 60°",,,"twin axis [010] with composition plane [100], common",,,r > v weak to very strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymophane,oxide minerals,beal2o4,orthorhombic,"various shades of green, emerald-green yellow, blue, brownish to greenish black, may be raspberry-red under incandescent light when chromian; colorless, pale shades of yellow, green, or red in transmitted light","crystals tabular or short prismatic, prominently striated",conchoidal to uneven,8.5,vitreous,3.5–3.84,,biaxial (+),nα=1.745 nβ=1.748 nγ=1.754,,x = red; y = yellow-orange; z = emerald-green,,,cbrl[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbnm,"a = 5.481å, b = 9.415å, c = 4.428å; z=4",,"distinct on {110}, imperfect on {010}, poor on {001}",brittle,white,,measured: 70°,,4.ba.05,"contact and penetration twins common, often repeated forming rosette structures",,,,,,,,,,,,,,,,color change; green to red,chatoyant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danburite,tectosilicates,cab2(sio4)2,orthorhombic,"colourless, white, gray, brownish white, straw yellow",euhedral prismatic crystals; disseminated masses,subconchoidal to uneven,7 – 7.5,,2.93 - 3.02,,biaxial (+/-),nα = 1.627 – 1.633 nβ = 1.630 – 1.636 nγ = 1.633 – 1.639,δ = 0.006,,fluorescent and thermoluminescent (red); short uv=violet blue; long uv=blue to blue-green,,dbu[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pnam,"a = 8.038(3), b = 8.752(5) c = 7.73[å]; z=4",,{001} poor,brittle,white,transparent to translucent,88 to 90° measured,,9.fa.65,,56.3.1.1,,r < v strong,,,,,,vitreous – greasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tourmaline,cyclosilicate,"(ca,k,na, ▢)(al,fe,li,mg,mn)3(al,cr,fe,v)6(bo3)3(si,al,b)6o18(oh,f)4[1][2]",trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)","uneven, small conchoidal",7.0–7.5,"vitreous, sometimes resinous",3.06+0.20−0.06[1],vitreous[1],"double-refractive, uniaxial negative[1]",nω = 1.635–1.675nε = 1.610–1.650,−0.018 to −0.040; typically about −0.020 but in dark stones it may reach −0.040[1],"
typically moderate to strong[1]
red: definite; dark red, light red
green: strong; dark green, yellow-green
brown: definite; dark brown, light brown
blue: strong; dark blue, light blue
",pink stones; inert to very weak red to violet in long and short wave[1],"strong narrow band at 498nm, and almost complete absorption of red down to 640nm in blue and green stones; red and pink stones show lines at 458 and 451nm, as well as a broad band in the green spectrum[1]",tur[3],ditrigonal pyramidal (3m)h-m symbol: (3m),r3m (no. 160),,,indistinct,brittle,white,translucent to opaque,,,,,,2.82–3.32,0.017[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire opal,mineraloid,hydrated silica. sio2·nh2o,amorphous[2],"colorless, white, yellow, red, orange, green, brown, black, blue, pink","irregular veins, in masses, in nodules",conchoidal to uneven[2],5.5–6[2],subvitreous to waxy[2],2.15+0.08−0.90[2],vitreous to resinous[2],"single refractive, often anomalous double refractive due to strain[2]","1.450+0.020−0.080mexican opal may read as low as 1.37, but typically reads 1.42–1.43[2]",none[2],none[2],"black or white body color: inert to white to moderate light blue, green, or yellow in long and short wave, may also phosphoresce, common opal: inert to strong green or yellowish green in long and short wave, may phosphoresce; fire opal: inert to moderate greenish brown in long and short wave, may phosphoresce[2]","green stones: 660nm, 470nm cutoff[2]",opl[1],,,,,none[2],,white,"opaque, translucent, transparent",,,,,,2.09 g/cm3,,"hot salt water, bases, methanol, humic acid, hydrofluoric acid",,,,,,,,,,,,,,darkening upon heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nepheline,"tectosilicate, feldspathoid","(na,k)alsio4",hexagonal,"white, gray, brown, brownish gray, or reddish white",massive granular to prismatic,subconchoidal,6,vitreous to greasy,2.55–2.65 (average: 2.59),,uniaxial (−),nω = 1.529–1.546  nε = 1.526–1.542,δ = 0.003–0.004,,,,nph[1],pyramidal (6) h–m symbol: (6),p63,,146.08 g/mol,[1010] poor,,white,,,,9.fa.05,"on [1010], [3365], and [1122]",,,,,,,,"non-radioactive, non-magnetic, non-fluorescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcime,zeolite,naalsi2o6·h2o,orthorhombic,"white, colorless, gray, pink, greenish, yellowish","typically in crystals, usually trapezohedrons, also massive to granular.",uneven to subconchoidal,5 - 5.5,vitreous,2.24 - 2.29,,isotropic; anomalously biaxial (-),n = 1.479 - 1.493,,none,"short uv = greenish blueish white long uv = green, creamy white-yellow",,anl,dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),ibca,,220.15,"indistinct on {001}, {010}, {100}",,white,transparent to subtransparent to translucent,,3.5,9.gb.05,"polysynthetic on [001], [110]",,,,,,,,weakly piezoelectric and pyroelectric; weakly electrostatic when rubbed or heated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moss agate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samarskite,oxide minerals,"(yfe3+fe2+u,th,ca)2(nb,ta)2o8",orthorhombic,"black, may have a brownish tint, brown to yellowish brown due to alteration; light to dark brown in transmitted light",crystals elongated with pyramidal terminations; commonly granular to massive,conchoidal fragments,5 - 6,vitreous - resinous,,,appears isotropic,n = 2.1–2.2,,,,,smk-y[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbcn,"a = 5.687å, b = 4.925å c = 5.21å; z=2",,"{010}, indistinct",brittle,reddish brown,"opaque, transparent in thin fragments",,,4.db.25,,,"5.6 - 5.8, average = 5.69",,,,,, radioactive (greater than 70 bq / gram),,,,,,,,,,,metamict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zunyite,sorosilicates,"al13si5o20(oh,f)18cl",isometric,"grayish white, flesh-red; colorless in thin section",crystalline - occurs as well-formed fine sized crystals,uneven,7,vitreous,2.874(5) (meas.)  2.87 - 2.90 (calc.),,isotropic,n = 1.592 - 1.600,,,,,znu[1],hextetrahedral (43m) h-m symbol: (43m),f43m,a = 13.8654 - 13.8882å; z=4,,good on {111},brittle,white,transparent to translucent with inclusions,,,9.bj.55,"on {111}, contact and penetration",,,,,,,,may fluoresce red under uv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fergusonite,oxide minerals,reenbo4 (ree: rare-earth element),tetragonal,"black, black, brown, gray, yellow","metamict – mineral originally crystalline, now amorphous due to radiation damage",subconchoidal – fractures developed in brittle materials characterized by semi-curving surfaces,5.5–6,submetallic,,,,"2.05–2.19, isotropic",,,,,fgs[1],dipyramidal (4/m) h-m symbol: (4/m),i41/a,,245.81 g/mol (y),indistinct,,brown,,,,7.ga.05,,,"4.3–5.8, average = 5.05",,,,,,"nonmagnetic, non-fluorescent, non-radioactive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferroaxinite,cyclosilicates,"(ca,fe,mn)3al2bo3si4o12oh or ca2(fe,mn)al2bsi4o15(oh)",triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",conchoidal,6.0–7.5,vitreous,3.18–3.37,,biaxial (-),nα = 1.672–1.693 nβ = 1.677–1.701 nγ = 1.681–1.704,δ = 0.011,strong,,,ax[1],pinacoidal (1) (same h-m symbol),p1,,,good on {100},,white,,,,9.bd.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malachite,carbonate mineral,cu2co3(oh)2,monoclinic,"bright green, dark green, blackish green, with crystals deeper shades of green, even very dark to nearly black commonly banded in masses; green to yellowish green in transmitted light","massive, botryoidal, stalactitic, crystals are acicular to tabular prismatic",subconchoidal to uneven,3.5–4,adamantine to vitreous; silky if fibrous; dull to earthy if massive,3.6–4,,biaxial (–),nα = 1.655 nβ = 1.875 nγ = 1.909,δ = 0.254,,,,mlc[1],prismatic (2/m) (same h-m symbol),p21/a,,221.1 g/mol,perfect on {201} fair on {010},,light green,translucent to opaque,,,5.ba.10,common as contact or penetration twins on {100} and {201}. polysynthetic twinning also present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubic zirconia,"
oxide minerals
",,cubic,various,,,8.0-8.5,,5.6-6.0 g/cm3,,,2.15-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryolite,halide mineral,na3alf6,monoclinic,"colorless to white, also brownish, reddish and rarely black","usually massive, coarsely granular.  the rare crystals are equant and pseudocubic",uneven,2.5 to 3,"vitreous to greasy, pearly on {001}",2.95 to 3.0.,,biaxial (+),"nα = 1.3385–1.339, nβ = 1.3389–1.339, nγ = 1.3396–1.34",δ = 0.001,,,,crl[1],prismatic (2/m) (same h-m symbol),p21/n,"a = 7.7564(3)å, b = 5.5959(2)å, c = 5.4024(2)å; β = 90.18°; z=2",209.9 g mol−1,none observed,brittle,white,transparent to translucent,43°,,3.cb.15,"very common, often repeated or polysynthetic with simultaneous occurrence of several twin laws",11.6.1.1,,r < v,"soluble in alcl3 solution, soluble in h2so4 with the evolution of hf, which is poisonous. insoluble in water.[2]",,,,"weakly thermoluminescent.  small clear fragments become nearly invisible when placed in water, since its refractive index is close to that of water.  may fluoresce intense yellow under swuv, with yellow phosphorescence, and pale yellow phosphorescence under lwuv.  not radioactive.",,1012 °c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammolite,"fossilized, mineralized ammonite shell","caco3 aragonite polymorph, with minor amounts of calcite, pyrite, silica, and other impurities[1]",,"gray to brown,  can be radiant blue, with primarily red to green iridescence.[1]",,uneven to granular[1],3.5 - 4.5,greasy to dull[1],usually about 2.70 (varies with mineral content)[1],vitreous[1],anomalous aggregate reaction[1],usually 1.52 - 1.68 (varies with mineral content)[1],0.135 - 0.145[1],none[1],variable[1],,,,,,,no true cleavage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anorthite,feldspar,caal2si2o8,triclinic,"white, grayish, reddish",anhedral to subhedral granular,uneven to conchoidal,6,vitreous,2.72–2.75,,biaxial (-),nα = 1.573–1.577 nβ = 1.580–1.585 nγ = 1.585–1.590,δ = 0.012–0.013,,,,an[1],pinacoidal (1) (same h-m symbol),p1,"a = 8.1768, b = 12.8768 c = 14.169[å]; α = 93.17° β = 115.85°, γ = 92.22°; z=8",278.203g·mol−1,perfect [001] good [010] poor [110],brittle,white,transparent to translucent,78° to 83°,,9.fa.35,common,,,,,,,,,,1553 °c[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcasite,sulfide mineral,fes2,orthorhombic,"tin-white on fresh surface, pale bronze-yellow, darkening on exposure, iridescent tarnish","crystals typically tabular on {010}, curved faces common; stalactitic,
 reniform, massive; cockscomb and spearhead shapes due to twinning on {101}.",irregular/uneven,6–6.5,metallic,"4.875 calculated, 4.887 measured",,,,,"[100] creamy white; [010] light yellowish white; [001] white with rose-brown tint. anisotropism: very strong, yellow through pale green to dark green",,,mrc[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pnnm,"a = 4.436å, b = 5.414å, c = 3.381å; z=2",119.98g/mol,"cleavage: {101}, rather distinct; {110} in traces",brittle,dark-grey to black.,opaque,,,2.eb.10a,common and repeated on {101}; less common on {011}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smithsonite,carbonate mineral,znco3,trigonal,"white, grey, yellow, green to apple-green, blue, pink, purple, bluish grey, and brown","uncommon as crystals, typically botryoidal, reniform, spherulitic; stalactitic, earthy, compact massive","uneven, sub-conchoidal",4.5,"vitreous, may be pearly",4.4 - 4.5,,uniaxial (-),nω = 1.842 - 1.850 nε = 1.619 - 1.623,δ = 0.223 - 0.227,,may fluoresce pale green or pale blue under uv,,smt[1],hexagonal scalenohedral (3m) h-m symbol: (3 2/m),r3c,a = 4.6526(7) c = 15.0257(22)[å]; z=6,,perfect on [1011],brittle,white,translucent,,,5.ab.05,none observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluor-liddicoatite,cyclosilicate tourmaline group,ca(li2al)al6(bo3)3si6o18(oh)3f,trigonal,"usually smoky brown, but also pink, red, green, blue, or rarely white.","stout prismatic, with a curved convex trigonal outline",uneven to conchoidal,7+1⁄2,vitreous,3.02,,uniaxial (-),"no = 1.637, ne = 1.621",,"strong: o dark brown or pink, e light brown or pale pink",,,fld[1],ditrigonal pyramidal (3m) (same h-m symbol),r3m,,945.8 g/mol,poor or absent on {0001}[2],brittle,white to very light brown,transparent to translucent,,,9.ck.05 (10 ed) 8/e.19-80 (8 ed),,61.3.1.2,,,,,,,"not fluorescent, not radioactive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wollastonite,inosilicate mineral,"calcium metasilicate, casio3",triclinic monoclinic polytype exists,"white, colorless or gray","rare as tabular crystals—commonly massive in lamellar, radiating, compact and fibrous aggregates.",splintery to uneven,4.5 to 5.0,vitreous or dull to pearly on cleavage surfaces,2.86–3.09,,biaxial (-),nα = 1.616–1.640 nβ = 1.628–1.650 nγ = 1.631–1.653,δ = 0.015 max,,,,wo[1],pinacoidal (1) (same h-m symbol),p1 (1a polytype),"a = 7.925å, b = 7.32å, c = 7.065å; α = 90.055°, β = 95.217°, γ = 103.42°; z=6",116.159g/mol,perfect in two directions at near 90°,,white,transparent to translucent,measured: 36° to 60°,,9.dg.05,common,,,,"soluble in hcl, insoluble in water",,,,"heat of formation (@298): -89.61kj
gibbs free energy: 41.78kj",,1540 °c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seashell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
